key,Ubicación,Texto actual
"constelaciones.faq.p1_respuesta","Constelaciones → FAQ → Respuesta 1","Es un espacio de trabajo sistémico donde se representan vínculos y patrones —familiares, de pareja o de equipo— para sanar cargas heredadas y encontrar mayor claridad y libertad."
"constelaciones.faq.p2_pregunta","Constelaciones → FAQ → Pregunta 2","¿Es necesario que asista mi familia a la sesión?"
"constelaciones.faq.p2_respuesta","Constelaciones → FAQ → Respuesta 2","No. El trabajo se realiza contigo, representando los vínculos y dinámicas familiares en el espacio de la sesión, sin necesidad de que otros miembros de tu familia estén presentes."
"constelaciones.faq.p3_pregunta","Constelaciones → FAQ → Pregunta 3","¿Es compatible con terapia o coaching que ya estoy haciendo?"
"constelaciones.faq.p3_respuesta","Constelaciones → FAQ → Respuesta 3","Sí, las Constelaciones son un complemento habitual de otros procesos de terapia o coaching, no un reemplazo."
"constelaciones.faq.p4_pregunta","Constelaciones → FAQ → Pregunta 4","¿Las sesiones son individuales o grupales?"
"constelaciones.faq.p4_respuesta","Constelaciones → FAQ → Respuesta 4","Ambas modalidades están disponibles, según lo que se ajuste mejor a tu proceso."
"pnl.meta.titulo","PNL → (SEO) Título de la pestaña","Programación Neurolingüística (PNL) — Denisse Karmy"
"pnl.meta.descripcion","PNL → (SEO) Descripción para buscadores","Programación Neurolingüística (PNL) con Denisse Karmy: herramientas prácticas para transformar patrones de pensamiento, emociones y comunicación."
"pnl.hero.eyebrow","PNL → Hero → texto pequeño superior","Sesiones · Programación Neurolingüística (PNL)"
"pnl.hero.titulo","PNL → Hero → título","Programación Neurolingüística (PNL)"
"pnl.hero.subtitulo","PNL → Hero → bajada","Herramientas concretas para cambiar cómo piensas, sientes y te comunicas."
"pnl.hero.boton_agendar","PNL → Hero → botón 1","Agendar sesión"
"pnl.hero.boton_testimonios","PNL → Hero → botón 2","Ver testimonios"
"pnl.video.eyebrow","PNL → Testimonios en video → texto pequeño superior","Testimonios en video"
"pnl.video.titulo","PNL → Testimonios en video → título (placeholder)","Próximamente"
"pnl.video.placeholder_texto","PNL → Testimonios en video → texto del recuadro pendiente","Video testimonio de este servicio (próximamente)"
"pnl.video.intro_respaldo","PNL → Testimonios en video → texto antes del testimonio de respaldo","Mientras se suma un testimonio en video propio de este servicio, estas son las palabras de quienes ya han trabajado con Denisse:"
"pnl.video.testimonio_texto","PNL → Testimonios en video → cita de respaldo","Linda Denisse, yo te agradezco de corazón lo bien que me ha hecho este taller. Soy una persona nueva, con herramientas que no conocía y que puedo ocupar en mi nueva yo."
"pnl.video.testimonio_autor","PNL → Testimonios en video → autora de la cita de respaldo","Yoly"
"pnl.detalle.eyebrow","PNL → Sobre este servicio → texto pequeño superior","Sobre este servicio"
"pnl.detalle.titulo","PNL → Sobre este servicio → título","Cómo trabajamos"
"pnl.detalle.texto","PNL → Sobre este servicio → descripción","La Programación Neurolingüística (PNL) es un conjunto de herramientas prácticas para identificar y transformar los patrones de pensamiento, lenguaje y conducta que hoy te limitan. A través de técnicas concretas, trabajamos tu forma de comunicarte, de gestionar tus emociones y de relacionarte contigo mismo/a y con otros, generando cambios que puedes empezar a aplicar desde la primera sesión."
"pnl.cta.eyebrow","PNL → CTA intermedio → texto pequeño superior","Empecemos"
"pnl.cta.titulo","PNL → CTA intermedio → título","Empieza a cambiar tus patrones"
"pnl.cta.boton","PNL → CTA intermedio → botón","Agendar sesión"
"pnl.beneficios.eyebrow","PNL → Cómo te ayuda → texto pequeño superior","Cómo te ayuda"
"pnl.beneficios.titulo","PNL → Cómo te ayuda → título","Programación Neurolingüística con Denisse"
"pnl.beneficios.b1_titulo","PNL → Beneficio 1 → título","Herramientas, no solo teoría"
"pnl.beneficios.b1_texto","PNL → Beneficio 1 → texto","Técnicas concretas que puedes empezar a aplicar en tu día a día desde la primera sesión, no solo conceptos."
"pnl.beneficios.b2_titulo","PNL → Beneficio 2 → título","Más control sobre tus emociones"
"pnl.beneficios.b2_texto","PNL → Beneficio 2 → texto","Identificas qué patrones disparan tus emociones y aprendes a gestionarlas en vez de que ellas te gestionen a ti."
"pnl.beneficios.b3_titulo","PNL → Beneficio 3 → título","Comunicación más efectiva"
"pnl.beneficios.b3_texto","PNL → Beneficio 3 → texto","Mejoras la forma en que te expresas y te relacionas, tanto en lo personal como en lo laboral."
"pnl.testimonios.eyebrow","PNL → Testimonios (texto) → texto pequeño superior","Testimonios"
"pnl.testimonios.titulo","PNL → Testimonios (texto) → título","Palabras de quienes han caminado el proceso"
"pnl.testimonios.t1_texto","PNL → Testimonios → Testimonio 1 → cita","Yo gracias a ti, Denisse, y a este curso he logrado en mí increíbles cambios. ¡Gracias!"
"pnl.testimonios.t1_autor","PNL → Testimonios → Testimonio 1 → autora","María José Villavicencio"
"pnl.testimonios.t2_texto","PNL → Testimonios → Testimonio 2 → cita","Denisse, agradezco profundamente este taller que está siendo tremendamente significativo y me ha ayudado muchísimo. Estoy súper agradecida de esta preciosa oportunidad de abrirnos entre todas, así ir sanando, creciendo, viéndonos y compartiendo con mis compañeras de este camino, que son mujeres tremendas."
"pnl.testimonios.t2_autor","PNL → Testimonios → Testimonio 2 → autora","Javiera Encina"
"pnl.testimonios.v3_autor","PNL → Testimonios → Video 3 → autor","Philippe Adduard"
"pnl.faq.eyebrow","PNL → FAQ → texto pequeño superior","Preguntas frecuentes"
"pnl.faq.titulo","PNL → FAQ → título","Antes de empezar"
"pnl.faq.p1_pregunta","PNL → FAQ → Pregunta 1","¿Qué es exactamente la PNL y en qué se diferencia del coaching?"
"pnl.faq.p1_respuesta","PNL → FAQ → Respuesta 1","Mi trabajo integra, según la necesidad del cliente, al Coaching Ontológico y Apreciativo con la PNL; la PNL aporta herramientas concretas de lenguaje y conducta que se suman al proceso de coaching para potenciar los resultados."
"pnl.faq.p2_pregunta","PNL → FAQ → Pregunta 2","¿Necesito saber algo de PNL antes de empezar?"
"pnl.faq.p2_respuesta","PNL → FAQ → Respuesta 2","No, no se requiere ningún conocimiento previo. Las técnicas se explican y aplican durante la propia sesión."
"pnl.faq.p3_pregunta","PNL → FAQ → Pregunta 3","¿En cuántas sesiones se ven resultados?"
"pnl.faq.p3_respuesta","PNL → FAQ → Respuesta 3","Varía según cada persona y objetivo; en muchos casos los cambios comienzan a percibirse desde la primera sesión."
"pnl.faq.p4_pregunta","PNL → FAQ → Pregunta 4","¿Sirve para temas puntuales o solo para procesos largos?"
"pnl.faq.p4_respuesta","PNL → FAQ → Respuesta 4","Sirve para ambos casos: se puede trabajar un tema puntual en pocas sesiones, o integrarlo a un proceso más amplio de coaching."
"curso.meta.titulo","Curso → (SEO) Título de la pestaña","Viaje a tu Liberación — Curso online de Denisse Karmy"
"curso.meta.descripcion","Curso → (SEO) Descripción para buscadores","Viaje a tu Liberación: curso online de Denisse Karmy para soltar creencias, patrones y cargas emocionales, y reencontrarte con tu versión más libre."
"curso.nav.boton","Curso → Navegación → botón principal (reemplaza ""Agendar"")","Comprar el curso"
"curso.hero.eyebrow","Curso → Hero → texto pequeño superior","Curso online"
"curso.hero.titulo","Curso → Hero → título","Viaje a tu Liberación"
"curso.hero.texto","Curso → Hero → descripción","Un recorrido para soltar creencias, patrones y cargas emocionales que te mantienen atrapado/a, y reencontrarte con la versión de ti que actúa desde la libertad."
"curso.hero.boton","Curso → Hero → botón","Comprar el curso"
"curso.hero.video_placeholder","Curso → Hero → texto del video pendiente","Video de YouTube del curso (próximamente)"
"curso.incluye.titulo","Curso → Qué incluye → título de sección","Qué incluye"
"curso.incluye.contenido_titulo","Curso → Qué incluye → columna ""Contenido"" → título","Contenido"
"curso.incluye.contenido_texto","Curso → Qué incluye → columna ""Contenido"" → texto","Módulo 1: Autoconocimiento · Módulo 2: Soltar creencias limitantes · Módulo 3: Gestión emocional · Módulo 4: Integración y nuevos hábitos. (contenido genérico, a definir)"
"curso.incluye.valor_titulo","Curso → Qué incluye → columna ""Valor"" → título","Valor"
"curso.incluye.valor_texto","Curso → Qué incluye → columna ""Valor"" → texto","$XX.XXX (precio referencial, a confirmar)"
"curso.incluye.pago_titulo","Curso → Qué incluye → columna ""Medios de pago"" → título","Medios de pago"
"curso.incluye.pago_texto","Curso → Qué incluye → columna ""Medios de pago"" → texto","Transferencia bancaria, tarjeta de crédito/débito (WebPay), MercadoPago (por definir)"
"curso.testimonios.eyebrow","Curso → Testimonios → texto pequeño superior","Testimonios"
"curso.testimonios.titulo","Curso → Testimonios → título de sección","Palabras de quienes han tomado el curso"
"curso.testimonios.t1_autor","Curso → Testimonios → Video 1 → autoras","Alumnas del curso"
"curso.testimonios.t2_texto","Curso → Testimonios → Testimonio 2 (con video) → cita","Yo gracias a ti, Denisse, y a este curso he logrado en mí increíbles cambios. ¡Gracias!"
"curso.testimonios.t2_autor","Curso → Testimonios → Testimonio 2 (con video) → autora","María José Villavicencio"
"curso.testimonios.t3_texto","Curso → Testimonios → Testimonio 3 → cita","Denisse, agradezco profundamente este taller que está siendo tremendamente significativo y me ha ayudado muchísimo. Estoy súper agradecida de esta preciosa oportunidad de abrirnos entre todas, así ir sanando, creciendo, viéndonos y compartiendo con mis compañeras de este camino, que son mujeres tremendas."
"curso.testimonios.t3_autor","Curso → Testimonios → Testimonio 3 → autora","Javiera Encina"
"curso.testimonios.t4_autor","Curso → Testimonios → Video 4 → autora","Coté"
"curso.testimonios.t5_texto","Curso → Testimonios → Testimonio 5 → cita","Tu taller fue una experiencia muy mágica, cargada de energía femenina; un espacio para soltar y entregar muchas cosas que nos nublan la conciencia, nos enredan las emociones y nos desconectan del día a día. Sentí un gran alivio a 24 horas del taller respecto a mi ansiedad. Gracias por regalarme este espacio, para hacerme cariño y ser más consciente de mí, de mi entorno y de lo que realmente quiero."
"curso.testimonios.t5_autor","Curso → Testimonios → Testimonio 5 → autora","Ale"
"curso.testimonios.t6_autor","Curso → Testimonios → Video 6 → autora","Paola Fassino"
"curso.testimonios.t7_autor","Curso → Testimonios → Video 7 → autora","Carolina Palacios"
"curso.testimonios.link_faq","Curso → Testimonios → link a preguntas frecuentes","¿Tienes más preguntas? Revisa las preguntas frecuentes"
"curso.cta.eyebrow","Curso → CTA final → texto pequeño superior","Cupos limitados"
"curso.cta.titulo","Curso → CTA final → título","Empieza el viaje a tu liberación"
"curso.cta.boton","Curso → CTA final → botón","Comprar el curso"
"libro.meta.titulo","Libro → (SEO) Título de la pestaña","La Verdad, Claves para tu Felicidad — Libro de Denisse Karmy"
"libro.meta.descripcion","Libro → (SEO) Descripción para buscadores","La Verdad, Claves para tu Felicidad: el libro de Denisse Karmy sobre autoconciencia y desarrollo personal. Disponible en Amazon."
"libro.nav.boton","Libro → Navegación → botón principal (reemplaza ""Agendar"")","Comprar libro"
"libro.hero.eyebrow","Libro → Hero → texto pequeño superior","Libro · Denisse Karmy, autora"
"libro.hero.titulo","Libro → Hero → título","La Verdad, Claves para tu Felicidad"
"libro.hero.texto","Libro → Hero → descripción","Un libro profundo de autoayuda que explora junto a Denisse los intrincados caminos de la autoconciencia y el desarrollo personal para vivir en felicidad. La Verdad te invita a sumergirte en un viaje hacia tu verdad interior, donde encontrarás valiosas perspectivas sobre cómo alcanzar una vida más auténtica y significativa."
"libro.hero.boton","Libro → Hero → botón","Comprar el libro"
"libro.autora.titulo","Libro → Sobre la autora → título","Sobre la autora"
"libro.autora.texto","Libro → Sobre la autora → texto","Denisse Karmy es Coach Ontológica y Apreciativa, facilitadora de PNL y de Constelaciones Sistémicas y Familiares, con más de 20 años de experiencia acompañando procesos de cambio personal, de liderazgo y de fortalecimiento de relaciones."
"libro.autora.boton","Libro → Sobre la autora → link","Conocer más sobre Denisse"
"libro.cta.eyebrow","Libro → CTA final → texto pequeño superior","¿Tienes dudas antes de comprar?"
"libro.cta.titulo","Libro → CTA final → título","Escríbeme y conversemos"
"libro.cta.boton","Libro → CTA final → botón","Contactar a Denisse"
